제목,지역,소분류,성별,내용
[계양재가노인지원서비스센터] 자차로 밑반찬 전달 차량 봉사자 모집합니다.,인천,계양구,공통,"안녕하세요. 계양재가노인지원서비스센터입니다.본 센터에서는 식생활 사업에 따른 밑반찬 전달 자원봉사자를 모집하려고 합니다.많은 관심과 참여 부탁드리겠습니다.-------------------------------------------------------------------------------일시 : 매월 첫째,둘째,셋째 주 목요일(오후 14시 ~ 18시) (거의 고정된 시간)장소 : 본 센터에서 출발하여 각 담당구역(임학병방, 계산동, 효성동)으로 나뉘어 어르신들 댁 방문참고사항 : 어르신댁 특성상 골목길이 많은관계로 경차를 소유하셔서 자차로 봉사가 가능하신 분이었으면 좋겠습니다. 기타 문의사항이 있으신 분들은 계양재가노인지원서비스센터로 연락주시기 바랍니다. (업무시간[09:00-18:00] 내 032-556-0005 / 업무시간(18:00~) 외 010-4081-3407)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"레크레이션, 프로그램 진행",경기,부천시,공통,"주간보호센터 오후 2시부터 오후3시까지 레크레이션, 프로그램 진행하시는 분 구하고 있습니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[남동구노인복지관] 재가노인 식사배달(차량 및 오토바이 활용 필요),인천,남동구,공통,"남동구노인복지관에서는 저소득 재가노인을 대상으로 결식 예방 및 식상활 개선을 통해 건강증진을 도모하고자 [식사배달사업]을 운영하고 있습니다.본 기관에서는 구월동 및 간석동 지역에 위치한 재가노인 35가구를 대상으로 진행하고 있습니다.매일 오전 10시부터 12시까지 순차적으로 식사배달을 진행하고 있으며, 일부 지역을 대상으로 차량활용이 가능한 자원봉사자를 모집하고 있습니다.요청하는 지역은 차량을 활용해야함에 따라 주차 등이 용이한 간석1동 및 간석4동 지역의 5가구 중 일부, 구월1동 지역에 4가구 중 일부만이라도차량을 활용한 식사배달 봉사자를 모집합니다.활동주기는 정해진 요일에 정기적으로 봉사를 요청하며, 진행방식은 10시 이전에 남동구노인복지관 경로식당에서 준비된 도시락을 수령한 후어르신댁에 가져다드리고, 어제 배달된 도시락통을 회수하여 경로식당에 반납하는 일정입니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
프로그램 업무보조 및 행정지원 봉사자 모집,경북,구미시,공통,강동재가노인지원서비스센터 자원봉사자 모집- 일정 : 주중(월-금) / 봉사시간 선택 가능  (오전9시-12시 / 오후1시-6시)    ※ 점심시간 12시-1시 부터는 봉사 불가 / 종일 봉사시 점심제공 불가 / 주말 봉사 불가  - 장소 : 강동재가노인지원서비스센터 사무실             * 센터 주소 : 구미시 인동가산로 473-38(신동)- 봉사내용 :-재가어르신댁 방문을 통한 안전확인 및 서비스 배달 업무 보조 (노력봉사)-컴퓨터 활용한 전산 입력 등의 각종 사무업무 (컴퓨터 활용 가능자 우대)이외에도 궁금하신 사항은 전화나 이메일 주시면 답변드립니다. 전화번호 473-4008 / 이메일 gangdong4008@daum.net 봉사 신청은 시스템 신청후에 아래 센터번호로 전화를 주셔야 최종적으로 신청완료가 됩니다.  센터번호☎ 473-4008  담당 사회복지사  이승준※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[꿈도담터] 초등저학년을 위한 꿈도담터 관리 봉사자 모집,경기,구리시,공통,[꿈도담터] 초등저학년을 위한 꿈도담터 관리 봉사자 모집1) 봉사내용① 등하원 출결확인② 교재교구 관리③ 기타 꿈도담터 관리2) 장 소 : 경기도 구리시 체육관로 74 행정복지센터 5층 꿈도담터3) 활동기간 : 2019년 2월부터~4) 활동시간 : 방학중(1월~2월) 11:00~14:00 또는 16:00~18:00                  학기중(3월~7월) 13:00~15:00 또는 18:00~20:005) 운영시간 : 방학중(1월~2월) 오전 10:00~ 18:00                  학기중(3월~7월) 오후 13:00~ 20:006) 봉사자격 : 구리시거주 성인 (장기간 활동 가능자 우대)7) 문 의 : 031-556-3874 구리시가족센터(통합센터) 부장 남윤실  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
"발달장애인 국어, 수학 학습지원",서울,은평구,공통,"봉사명 : 기초학습 봉사봉사지역 : 은평구(불광동, 응암동) 봉사대상 : 성인발달장애인 31세 남자봉사내역 : 기초학습 봉사              국어 1명(기초 단어 문장, 쓰고 말하기)              수학 1명(수와 셈)활동주기 : 매주 1~2회(요일, 시간은 협의)담당자 : 안성근 (연락처 010-4212-6327)  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
가정봉사원(유급),인천,미추홀구,공통,"주안역 4번 출구에 있는 '미추홀재가노인센터'입니다.유급으로 가정봉사원 선생님을 모집합니다. * 월40시간 근무(일2H) /시간은 협의가능 / 재가서비스사업 소속 가정봉사원입니다.* 업무는 (한달에 40명) 독립적인 일상생활이 어려운 노인 가정에 가정봉사원이 방문하여 신체활동지원, 가사지원, 정서지원 등의 활동을 하게 됩니다.* 급여는 담당자에게 문의.정기적으로 어르신들께 센터의 얼굴이 되어 활동하면서 센터와 어르신의 연결고리 역할을 잘 해주실 선생님이면 좋겠습니다^^궁금하신 점은 전화 주시면 친절히 안내해드리겠습니다. 감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
목욕봉사,부산,남구,공통,"어르신 목욕봉사 해주실 선생님들 모집하고 있습니다.봉사자분들의 따뜻한 손길 기다리고 있습니다.1. 프로그램명 : 어르신 목욕보조2. 일시 : 2019년 1월 31일 ~ (장기봉사활동 모집)3. 장소 : 구세군부산요양원 (대연3동)4. 활동내용- 요양원 내 어르신 목욕보조- 탈의 및 목욕- 목욕 후 물기제거 및 머리 말리기, 옷 입혀드리기 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
미술교육재능기부 봉사자 모집 ,울산,울주군,여,"울주군지적장애인자립지원센터는?- 발달장애인과 그 가족을 대상으로 상담지원, 자립생활지원, 권익옹호, 사회참여 등을 지원하는 종합적인 사업수행을 통해 발달장애인의 자립생활과 권익옹호를 목적으로 설립된 곳입니다.1. 사 업 명 :  발달장애인 자립훈련기술사업 ""재능 키우기""2. 활동내용 : 그림을 배우고 싶어하는 지적장애인에게 미술교육지도.3. 대 상 자 : 성인지적장애인 1명 20대 (여성) / 온산읍 덕신 거주 중 / 대중교통이동가능4. 활동방법 : - 월 1회 또는 2회 (봉사자의 스케줄에 맞출 수 있음)                  - 대상자 집으로 방문하거나, 학원같은곳에서 방문하여 수업을 해주시면 더욱 좋습니다.5. 참고사항 : - 본 센터의 이용자가 그림을 배우고 싶어하지만, 가정형편(경제적)이 열악하여 학원을 다니지 못하고 있습니다.                  - 재능기부를 통해 이용자에게 그림을 배울 수 있는 기회를 제공해주실 봉사자를 찾고 있습니다.                 6. 신청방법 : 전화로 신청바랍니다. 052)227-1517 / 엄지혜 사회복지사 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
중고등생 교육지도,서울,중랑구,공통,중 고등 학생 학습 지도※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
초등학습지도,서울,중랑구,공통,초등학생 학습 지도※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[홀트복지관] 무료급식소 배달자원봉사자 모집,대구,수성구,공통,"<저소득 독거어르신 및 장애인, 결식아동 무료급식 배달 봉사자 모집>-저희 홀트복지관에서는 지역의 경제적, 신체적 곤란을 겪고 있는 어르신들 및 저소득가정을 위한 도시락 배달사업을 진행 중에 있습니다.이에 도시락 배달을 해주실 봉사자 분을 모집하오니, 많은 참여 부탁드립니다.-모집대상 : 20세 이상 누구나 (자기차량을 소유한 운전 가능자)-모집인원 : 5명 정도-모집기간 : 모집완료시까지-활동일시 : 주 1회활동 (매주 수, 목, 금 중 주1회선택, 10:30~12:00, ※격주 가능)-활동범위 : 범어동, 수성동, 만촌동 지역-활동내용 : 무료급식 도시락 배달 및 빈그릇 수거, 대상자 안부확인-봉사신청방법 : 전화 및 방문접수 (053-746-7501 / 이다겸 사회복지사)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
2019년 굿네이버스 대학생 자원봉사동아리 '너나들이' 모집,서울,영등포구,공통,"○ [2019년 굿네이버스 대학생 자원봉사동아리 '너나들이' 모집] 2019년 한해동안 굿네이버스 서울남부지부에서 활동해주실 굿네이버스 대학생자원봉사동아리 단원을 모집하오니, 아동복지에 관심이 많은 대학생 여러분의 많은 참여 부탁드립니다!▷ 주최사 / 활동명 : 굿네이버스 서울남부지부(영등포아동보호전문기관) / '너나들이' 대학생 자원봉사 동아리▷ 활동내용 - 초등학생 아동 멘토링(월 2회)  : 2인 1조가 되어 격주로 영등포구, 구로구, 금천구 내 학대피해아동 가정방문 및 학습지도  : 일정은 대상 아동과 조율 가능▷ 활동 혜택- vms 자원봉사 시간 인정- 굿네이버스 자원봉사활동 경력인정▷ 지원 방법 :  vms 신청자의 경우 전화신청(02-842-0094 / 김재은 간사)▷ 문의 : 굿네이버스 서울남부지부 김재은 간사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"발달장애아동 문화체험, 정서지원 대학생 봉사자 모집",인천,계양구,공통,"한울타리 행복한 우리집 : 대학생 봉사자 모집발달장애아동과 짝이 되어 아동 정서지원 및 문화체험을 함께 할 대학생 봉사자를 모집합니다.월 1회 세번째 주 토요일 3월~ 12월 진행됩니다.관련 교육 및 간담회도 함께 진행되니 관심 있는 대학생 , 휴학생 분들은 아래로 연락주세요!문의 : 계양종합사회복지관 복지서비스과 이다영 (032-552-9090, 032-552-3005)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[광교종합사회복지관] 도시락 배달 봉사자 모집-지역3,경기,수원시,공통,"수원시 영통구에 위치한 광교종합사회복지관에서 '무료급식사업 도시락 배달'에 참여하실 자원봉사자를 모집합니다.일반적인 도시락 배달 봉사와 달리 수원시 영통구 원천동 인근에 거주하시는 분들 중 도시락을 배달하며 지역주민을 만나 유익한 시간을 보내실 수 있는 '마음배달원'을 모집하고자 합니다.^^편하신 평일 오전 시간대에 자원봉사를 하며 새로운 이웃도 만나고 같이 활동하는 마음배달원들과 모임도 함께하는 따뜻한 활동이니 많은 관심 부탁드립니다.주부, 대학생, 중년부부 연령대 상관없이 누구나 참여 가능합니다.- 일시 : 월~금 10:00~12:00 (요일 선택 가능)- 도시락 배달지 : 수원시 영통구 원천동 일대- 도보로 배달 가능※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
미추홀노인복지관 이미용 자원봉사자 모집,인천,미추홀구,공통,미추홀노인복지관에서 이미용 자원봉사자를 모집합니다.전문기술이 필요한 봉사이니만큼전문가분들의 많은 지원 바랍니다.자세한 사항은 전화 문의주세요~^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
프로그램 보조 및 족욕 보조 봉사,서울,마포구,공통," 성산노인복지센터는 어르신들이 이용하시는 데이케어센터로 따뜻한 마음과 손길을 나누어 주실 지역의 학생 및 주민 봉사자를 기다리고 있습니다.지역민들의 신선한 공기는 센터를 이용하시는 어르신 및 직원들에게 좋은 자극이 되어 어르신들의 생활을 보다 윤택하게 하는 원천이 됩니다. 아래 자원봉사 중 선택하거나 혹은 사정에 따라 봉사내용 및 시간을 조정할 수도 있습니다.자원봉사 구분시간상세내용1.프로그램 보조 봉사(미술치료)10:00~12:00(2시간)(토요일)-치매어르신들의 인지활성화를 위한 전문 강사의 미술치료시간, 프로그램 보조2.식사 봉사12:00~14:00(2시간)(토요일)-어르신들의 식사 배식 및 도움이 필요한 어르신의 식사 보조-손마사지를 통한 말벗3.발마사지 봉사14:00~16:00(2시간)(토요일)-발마사지를 통한 커뮤니케이션 도움※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
